<23:54:27.216>Start FDBS 
<23:54:30.069>FDBS; opened connection to oralv8a 
<23:54:30.335>FDBS; opened connection to oralv9a 
<23:54:30.851>FDBS; opened connection to oralv10a 
<23:54:31.011>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('AKL', 'NZ ', 'Auckland', 'Auckland International') 
<23:54:37.247>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MUC', 'D ', 'Munich', 'Franz-Josef Strauss') 
<23:54:37.467>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MUC', 'D ', 'Munich', 'Franz-Josef Strauss') 
<23:54:37.724>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MUC', 'D ', 'Munich', 'Franz-Josef Strauss') 
<23:54:37.852>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MVR', 'CMR', 'Maroua', 'Maroua Salek Airport') 
<23:54:37.853>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MVR', 'CMR', 'Maroua', 'Maroua Salek Airport') 
<23:54:37.876>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MVR', 'CMR', 'Maroua', 'Maroua Salek Airport') 
<23:54:37.911>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MVR', 'CMR', 'Maroua', 'Maroua Salek Airport') 
<23:54:37.942>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('NAP', 'I ', 'Neapel', 'Capodichino') 
<23:54:37.943>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('NAP', 'I ', 'Neapel', 'Capodichino') 
<23:54:37.976>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('NAP', 'I ', 'Neapel', 'Capodichino') 
<23:54:38.016>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('NAP', 'I ', 'Neapel', 'Capodichino') 
<23:54:38.060>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('NCE', 'D ', 'Nice', '') 
<23:54:38.061>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('NCE', 'D ', 'Nice', '') 
<23:54:38.098>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('NCE', 'D ', 'Nice', '') 
<23:54:38.144>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('NCE', 'D ', 'Nice', '') 
<23:54:38.171>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('NRT', 'J ', 'Tokio', 'Narita') 
<23:54:38.172>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('NRT', 'J ', 'Tokio', 'Narita') 
<23:54:38.194>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('NRT', 'J ', 'Tokio', 'Narita') 
<23:54:38.221>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('NRT', 'J ', 'Tokio', 'Narita') 
<23:54:38.374>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('NUE', 'D ', 'Nuernberg', '') 
<23:54:38.375>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('NUE', 'D ', 'Nuernberg', '') 
<23:54:38.405>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('NUE', 'D ', 'Nuernberg', '') 
<23:54:38.531>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('NUE', 'D ', 'Nuernberg', '') 
<23:54:38.568>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ORD', 'USA', 'Chicago', 'O''Hare') 
<23:54:38.569>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ORD', 'USA', 'Chicago', 'O''Hare') 
<23:54:38.648>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ORD', 'USA', 'Chicago', 'O''Hare') 
<23:54:38.674>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ORD', 'USA', 'Chicago', 'O''Hare') 
<23:54:38.732>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ORY', 'F ', 'Paris', 'Orly') 
<23:54:38.733>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ORY', 'F ', 'Paris', 'Orly') 
<23:54:38.812>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ORY', 'F ', 'Paris', 'Orly') 
<23:54:38.838>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ORY', 'F ', 'Paris', 'Orly') 
<23:54:38.873>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('OSL', 'N ', 'Oslo', 'Oslo Gardermoen') 
<23:54:38.874>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('OSL', 'N ', 'Oslo', 'Oslo Gardermoen') 
<23:54:38.900>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('OSL', 'N ', 'Oslo', 'Oslo Gardermoen') 
<23:54:38.939>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('OSL', 'N ', 'Oslo', 'Oslo Gardermoen') 
<23:54:39.017>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('PAD', 'D ', 'Paderborn', '') 
<23:54:39.018>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('PAD', 'D ', 'Paderborn', '') 
<23:54:39.046>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('PAD', 'D ', 'Paderborn', '') 
<23:54:39.080>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('PAD', 'D ', 'Paderborn', '') 
<23:54:39.147>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('PEK', 'CHN', 'Peking', 'Beijing Shoudu Guoji Jichang') 
<23:54:39.148>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('PEK', 'CHN', 'Peking', 'Beijing Shoudu Guoji Jichang') 
<23:54:39.182>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('PEK', 'CHN', 'Peking', 'Beijing Shoudu Guoji Jichang') 
<23:54:39.253>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('PEK', 'CHN', 'Peking', 'Beijing Shoudu Guoji Jichang') 
<23:54:39.319>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('PMI', 'E ', 'Palma', 'Aeropuerto de Son Sant Joan') 
<23:54:39.319>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('PMI', 'E ', 'Palma', 'Aeropuerto de Son Sant Joan') 
<23:54:39.497>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('PMI', 'E ', 'Palma', 'Aeropuerto de Son Sant Joan') 
<23:54:39.519>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('PMI', 'E ', 'Palma', 'Aeropuerto de Son Sant Joan') 
<23:54:39.580>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('SEA', 'USA', 'Seattle', 'Seattle-Tacoma') 
<23:54:39.581>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('SEA', 'USA', 'Seattle', 'Seattle-Tacoma') 
<23:54:39.615>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('SEA', 'USA', 'Seattle', 'Seattle-Tacoma') 
<23:54:39.698>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('SEA', 'USA', 'Seattle', 'Seattle-Tacoma') 
<23:54:39.781>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('SFO', 'USA', 'San Francisco', '') 
<23:54:39.782>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('SFO', 'USA', 'San Francisco', '') 
<23:54:39.806>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('SFO', 'USA', 'San Francisco', '') 
<23:54:39.828>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('SFO', 'USA', 'San Francisco', '') 
<23:54:39.921>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('SSH', 'ET ', 'Sharm El Sheikh', 'Sharm El Sheikh Nat. Airport') 
<23:54:39.922>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('SSH', 'ET ', 'Sharm El Sheikh', 'Sharm El Sheikh Nat. Airport') 
<23:54:39.945>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('SSH', 'ET ', 'Sharm El Sheikh', 'Sharm El Sheikh Nat. Airport') 
<23:54:39.968>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('SSH', 'ET ', 'Sharm El Sheikh', 'Sharm El Sheikh Nat. Airport') 
<23:54:39.997>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('STN', 'GB ', 'London', 'Stanstead') 
<23:54:39.998>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('STN', 'GB ', 'London', 'Stanstead') 
<23:54:40.042>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('STN', 'GB ', 'London', 'Stanstead') 
<23:54:40.068>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('STN', 'GB ', 'London', 'Stanstead') 
<23:54:40.101>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('SVO', 'RUS', 'Moskau', 'Scheremetjewo') 
<23:54:40.102>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('SVO', 'RUS', 'Moskau', 'Scheremetjewo') 
<23:54:40.129>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('SVO', 'RUS', 'Moskau', 'Scheremetjewo') 
<23:54:40.155>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('SVO', 'RUS', 'Moskau', 'Scheremetjewo') 
<23:54:40.185>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('SZG', 'A ', 'Salzburg', 'Salzburg Airport') 
<23:54:40.186>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('SZG', 'A ', 'Salzburg', 'Salzburg Airport') 
<23:54:40.297>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('SZG', 'A ', 'Salzburg', 'Salzburg Airport') 
<23:54:40.323>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('SZG', 'A ', 'Salzburg', 'Salzburg Airport') 
<23:54:40.360>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('TFS', 'E ', 'Granadilla', 'Teneriffa/S�d') 
<23:54:40.360>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('TFS', 'E ', 'Granadilla', 'Teneriffa/S�d') 
<23:54:40.397>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('TFS', 'E ', 'Granadilla', 'Teneriffa/S�d') 
<23:54:40.419>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('TFS', 'E ', 'Granadilla', 'Teneriffa/S�d') 
<23:54:40.472>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('TLS', 'F ', 'Toulouse', 'Blagnac') 
<23:54:40.473>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('TLS', 'F ', 'Toulouse', 'Blagnac') 
<23:54:40.501>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('TLS', 'F ', 'Toulouse', 'Blagnac') 
<23:54:40.526>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('TLS', 'F ', 'Toulouse', 'Blagnac') 
<23:54:40.553>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('TRD', 'N ', 'Trondheim', 'Vaernes') 
<23:54:40.554>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('TRD', 'N ', 'Trondheim', 'Vaernes') 
<23:54:40.639>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('TRD', 'N ', 'Trondheim', 'Vaernes') 
<23:54:40.676>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('TRD', 'N ', 'Trondheim', 'Vaernes') 
<23:54:40.710>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('TRU', 'PE ', 'Trujillo', '') 
<23:54:40.710>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('TRU', 'PE ', 'Trujillo', '') 
<23:54:40.740>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('TRU', 'PE ', 'Trujillo', '') 
<23:54:40.821>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('TRU', 'PE ', 'Trujillo', '') 
<23:54:40.856>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('TUN', 'TUN', 'Aeroport de Tunis', 'Tunis') 
<23:54:40.857>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('TUN', 'TUN', 'Aeroport de Tunis', 'Tunis') 
<23:54:40.881>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('TUN', 'TUN', 'Aeroport de Tunis', 'Tunis') 
<23:54:40.919>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('TUN', 'TUN', 'Aeroport de Tunis', 'Tunis') 
<23:54:41.057>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('TXL', 'D ', 'Berlin', 'Tegel') 
<23:54:41.058>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('TXL', 'D ', 'Berlin', 'Tegel') 
<23:54:41.083>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('TXL', 'D ', 'Berlin', 'Tegel') 
<23:54:41.106>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('TXL', 'D ', 'Berlin', 'Tegel') 
<23:54:41.134>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('VCE', 'I ', 'Venedig', 'Marco Polo') 
<23:54:41.135>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('VCE', 'I ', 'Venedig', 'Marco Polo') 
<23:54:41.159>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('VCE', 'I ', 'Venedig', 'Marco Polo') 
<23:54:41.191>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('VCE', 'I ', 'Venedig', 'Marco Polo') 
<23:54:41.226>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('VIE', 'A ', 'Wien', 'Schwechat') 
<23:54:41.227>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('VIE', 'A ', 'Wien', 'Schwechat') 
<23:54:41.298>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('VIE', 'A ', 'Wien', 'Schwechat') 
<23:54:41.340>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('VIE', 'A ', 'Wien', 'Schwechat') 
<23:54:41.381>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('VLC', 'E ', 'Valencia', 'Manises') 
<23:54:41.382>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('VLC', 'E ', 'Valencia', 'Manises') 
<23:54:41.406>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('VLC', 'E ', 'Valencia', 'Manises') 
<23:54:41.430>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('VLC', 'E ', 'Valencia', 'Manises') 
<23:54:41.479>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('YDE', 'CMR', 'Yaounde', null) 
<23:54:41.480>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('YDE', 'CMR', 'Yaounde', null) 
<23:54:41.506>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('YDE', 'CMR', 'Yaounde', null) 
<23:54:41.529>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('YDE', 'CMR', 'Yaounde', null) 
<23:54:41.559>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('YUL', 'CDN', 'Montreal', 'Pierre Elliot Trudeau') 
<23:54:41.560>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('YUL', 'CDN', 'Montreal', 'Pierre Elliot Trudeau') 
<23:54:41.588>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('YUL', 'CDN', 'Montreal', 'Pierre Elliot Trudeau') 
<23:54:41.646>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('YUL', 'CDN', 'Montreal', 'Pierre Elliot Trudeau') 
<23:54:41.668>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('YVR', 'CDN', 'Vancouver', 'Vancouver International') 
<23:54:41.668>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('YVR', 'CDN', 'Vancouver', 'Vancouver International') 
<23:54:41.728>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('YVR', 'CDN', 'Vancouver', 'Vancouver International') 
<23:54:41.755>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('YVR', 'CDN', 'Vancouver', 'Vancouver International') 
<23:54:41.795>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('YYC', 'CDN', 'Calgary', 'Municipal Airport') 
<23:54:41.797>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('YYC', 'CDN', 'Calgary', 'Municipal Airport') 
<23:54:41.844>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('YYC', 'CDN', 'Calgary', 'Municipal Airport') 
<23:54:41.868>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('YYC', 'CDN', 'Calgary', 'Municipal Airport') 
<23:54:41.892>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('YYZ', 'CDN', 'Toronto', 'Lester Pearson') 
<23:54:41.893>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('YYZ', 'CDN', 'Toronto', 'Lester Pearson') 
<23:54:41.917>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('YYZ', 'CDN', 'Toronto', 'Lester Pearson') 
<23:54:41.947>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('YYZ', 'CDN', 'Toronto', 'Lester Pearson') 
<23:54:42.001>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ZAZ', 'E ', 'Zaragoza', null) 
<23:54:42.002>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ZAZ', 'E ', 'Zaragoza', null) 
<23:54:42.080>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ZAZ', 'E ', 'Zaragoza', null) 
<23:54:42.103>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ZAZ', 'E ', 'Zaragoza', null) 
<23:54:42.126>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ZRH', 'CH ', 'Zuerich', 'Kloten') 
<23:54:42.127>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ZRH', 'CH ', 'Zuerich', 'Kloten') 
<23:54:42.152>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ZRH', 'CH ', 'Zuerich', 'Kloten') 
<23:54:42.179>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ZRH', 'CH ', 'Zuerich', 'Kloten') 
<23:54:42.203>FJDBC: commit() 
<23:54:42.284>Entered FedConnection.close() 
<23:54:42.324>JDBC connection to jdbc:oracle:thin:@pinatubo.informatik.hs-fulda.de:1521:oralv8a has been closed. 
<23:54:42.379>JDBC connection to jdbc:oracle:thin:@mtsthelens.informatik.hs-fulda.de:1521:oralv9a has been closed. 
<23:54:42.498>JDBC connection to jdbc:oracle:thin:@krakatau.informatik.hs-fulda.de:1521:oralv10a has been closed. 
<23:54:42.499>Exited FedConnection.close() 
